機構名稱,機構代碼,地址,行政區,電話,家庭醫學科,內科,外科,整形外科,兒科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,精神科,神經科,神經外科,復健科,麻醉科,放射診斷科,放射腫瘤科,解剖病理科,臨床病理科,核子醫學科,急診醫學科,職業醫學科,西醫一般科,口腔病理科,口腔顏面外科,齒顎矯正科,牙科一般科,牙科,中醫一般科,中醫,中醫內科,中醫外科,中醫婦科,中醫兒科,傷科,中醫眼科,針灸科,痔科
佳音牙醫診所,3707300242,高雄市左營區自由四路488號3樓、488號4樓,左營區,07-3593777,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
艾美牙醫診所,3707300251,高雄市左營區孟子路460號1-2樓,左營區,07-3418858,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
人文牙醫診所,3707300260,高雄市左營區安吉街229號1-2樓,左營區,07-5582828,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
登美牙醫診所,3707300279,高雄市左營區博愛二路360-1號1-2樓,左營區,07-5571223,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
華美牙醫診所,3707300288,高雄市左營區華夏路257號1、2樓,左營區,07-5549595,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
馨田牙醫診所,3707300297,高雄市左營區重信路198號1-2樓,左營區,07-3491198,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
高雄明德牙醫診所,3707300304,高雄市左營區天祥二路65號1-2樓,左營區,07-5574332,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
慶輝牙醫診所,3707300313,高雄市左營區菜公里文川路73號1樓,左營區,07-3507768,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
琵雅諾牙醫診所,3707300331,高雄市左營區天祥二路109號1-2樓,左營區,07-5569999,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
欣美牙醫診所,3707300359,高雄市左營區博愛二路8號1-2樓,左營區,07-5560111,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
赫品牙醫診所,3707300368,高雄市左營區富國路412號1-2樓,左營區,07-5573339,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
新齒度牙醫診所,3707300377,高雄市左營區先鋒路385號1樓,左營區,07-5882516,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
高鐵微笑牙醫診所,3707300386,高雄市左營區華夏路1328號1樓,左營區,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
福臨牙醫診所,3702031779,高雄市左營區新莊一路203號1樓,左營區,07-3416017,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
自由牙醫診所,3702031797,高雄市左營區自由二路259號1-2樓,左營區,07-5507605,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
晶鑽牙醫診所,3702031804,高雄市左營區重建路5號1樓,左營區,3457982   0935399372,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
順祥牙醫診所,3702031813,高雄市左營區重信路575號1樓,左營區,07-3451380/0939411564,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
順芳熹牙醫診所,3702031822,高雄市左營區自由三路355號1.2樓,左營區,3590858,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
浩宜牙醫診所,3702031831,高雄市左營區文自路232號1樓,左營區,07-3501990,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
康翔牙醫診所,3702031859,高雄市左營區富國路249號2樓,左營區,07-5561699/5568599,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
泰和牙醫診所,3702031868,高雄市左營區明華一路130號1樓,左營區,07-5569345    0914101801,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
止鼾王國牙醫診所,3702031897,高雄市左營區重化街1號1.2樓,左營區,07-3509966,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
維亨牙醫診所,3702031902,高雄市左營區富國路252號1樓,左營區,07-5582488,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
林德造牙醫診所,3702030012,高雄市左營區左營大路３７３號,左營區,07-5826626,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
聖惠牙醫診所,3702030021,高雄市左營區華夏路393號１樓＿,左營區,07-3479069,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
林哲亮牙科診所,3702030030,高雄市左營區左營大路３０５號,左營區,07 5829295,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
陳建勳牙醫診所,3702030058,高雄市左營區介壽路２號,左營區,07-5822351,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
弘明牙醫診所,3702030067,高雄市左營區左營大路１０６號,左營區,07 5820652,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
果貿牙醫診所,3702030076,高雄市左營區果峰街2巷1號1-2樓,左營區,07-5811815,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
黃一珊牙醫診所,3702030085,高雄市左營區左營大路119號1.2樓,左營區,07-5823903,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
天健牙醫診所,3702030129,高雄市左營區左營大路９３號,左營區,07-5852935,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
興高牙醫診所,3702030147,高雄市左營區新庄仔路５３２號,左營區,07-5566166,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
亞太牙醫診所,3702030156,高雄市左營區大順一路３０４號,左營區,07-5567383,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
德惠牙醫診所,3702030183,高雄市左營區富民路３３３號１樓,左營區,07-5572625,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
吳武益牙醫診所,3702030192,高雄市左營區民族一路９０１巷６號一樓,左營區,07-3463981,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
林永和牙醫診所,3702030209,高雄市左營區裕誠路２５３號,左營區,75592623,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
正怡牙醫診所,3702030218,高雄市左營區大中２路548號１樓,左營區,07-3507114,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
慧安牙醫診所,3702030227,高雄市左營區明誠２路２２２號１樓,左營區,07-5572834,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
昆煌牙醫診所,3702030254,高雄市左營區富民路１５５號１樓,左營區,75578000,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
大宇牙醫診所,3702030263,高雄市左營區裕誠路２８５號２樓,左營區,07-5580885,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
若瑟牙醫診所,3702030281,高雄市左營區翠峰路４號１樓,左營區,07-5815838,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
貞徵牙醫診所,3702030307,高雄市左營區富國路１３１號１樓,左營區,07-5573371,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
育群牙醫診所,3702030316,高雄市左營區重愛路３１號１樓,左營區,07-3479788,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
名鼎牙醫診所,3702030325,高雄市左營區自由２路８０號１樓２樓,左營區,07-5571522,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
南方牙醫診所,3702030343,高雄市左營區安吉街４１１號１樓,左營區,07-5569586,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
富岡牙醫診所,3702030370,高雄市左營區明誠２路３４２號１樓,左營區,07-5573403,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
大千牙醫診所,3702031386,高雄市左營區孟子路162 號1-2樓,左營區,07-3492689,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
榮華牙醫診所,3702031402,高雄市左營區民族一路1010 號一樓,左營區,07-3509648,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
安和牙醫診所,3702031439,高雄市左營區後昌路597號一樓,左營區,3631730,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
上鼎牙醫診所,3702031448,高雄市左營區華夏路722號1.2樓,左營區,07-3470388,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
康甯牙醫診所,3702031457,高雄市左營區政德路128號1.2樓,左營區,07-3470512,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
崇德牙醫診所,3702031466,高雄市左營區崇德路215號1樓,左營區,07-3492713,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
宏誠牙醫診所,3702031484,高雄市左營區富國路263號1樓,左營區,07-5583007,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
昌和牙醫診所,3702031493,高雄市左營區至聖路155-1號1樓,左營區,07-5574108,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
馥民牙醫診所,3702031537,高雄市左營區富民路198號1.2樓,左營區,07-5588711,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
富康牙醫診所,3702031555,高雄市左營區民族一路1018之2號1樓+夾層,左營區,07-3456123,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
佳恩牙醫診所,3702031573,高雄市左營區裕誠路447號1、2樓,左營區,75566615,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
頌恩牙醫診所,3702031626,高雄市左營區重愛路108號一樓,左營區,07-3504151,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
永豐牙醫診所,3702031644,高雄市左營區重信路549號2樓,左營區,3496908,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
新?牙醫診所,3702031653,高雄市左營區曾子路19號1樓,左營區,07-3470016,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
唯康牙醫診所,3702031662,高雄市左營區富國路222號1樓,左營區,07-5566067,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
小慶牙醫診所,3702031699,高雄市左營區明華一路215號1.2樓,左營區,5579288,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
晶元牙醫診所,3702031706,高雄市左營區孟子路542號1樓,左營區,07-3496977,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
和美牙醫診所,3702031724,高雄市左營區崇德路315號1.2樓,左營區,07-3416123,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
祐民牙醫診所,3702031733,高雄市左營區自由二路141號3樓,左營區,5563053,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
裕誠牙醫診所,3702031742,"高雄市左營區裕誠路416號1,2樓",左營區,07-5576799,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
正安牙醫診所,3702031751,高雄市左營區裕誠路452號1-2樓,左營區,07-5571888,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無
康裕牙醫診所,3702031760,高雄市左營區孟子路101號1樓,左營區,3437656,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無
翔暘復健專科診所,3507301245,高雄市左營區重和路193號1樓,左營區,07-3457557,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
德裕復健科診所,3507301263,高雄市左營區新庄仔路233號1-2樓,左營區,07-3410523,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
大道診所,3507301272,高雄市左營區自由二路215號1-2樓,左營區,07-5561650,無,無,無,無,無,無,有,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
希拉雅醫美殿堂診所,3507301281,高雄市左營區華夏路608號1樓、608號2樓,左營區,07-3505201,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
美加健康美醫診所,3507301290,高雄市左營區明華一路211號1-2樓,左營區,07-3427999,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
博愛愛爾麗診所,3507301307,高雄市左營區博愛二路2號1、2、3、4樓,左營區,07-5577778,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
三好診所,3507301325,高雄市左營區忠言路31號1樓,左營區,07-5509118,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
文仁小兒科診所,3507301334,高雄市左營區自由三路172號1樓,左營區,07-3457979,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
悠仁婦產科診所,3507301343,高雄市左營區自由三路172號2樓,左營區,07-3455959,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
麗式診所,3507301352,高雄市左營區文康路113號1、2、3樓,左營區,07-3496680,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
順風美醫診所,3507301370,高雄市左營區博愛三路101號1、2樓,左營區,07-3419930,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
長明診所,3507301389,高雄市左營區華夏路971號1樓,左營區,07-3432229,無,無,無,無,無,無,無,無,無,無,無,無,有,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
昀采時尚醫美診所,3507301398,高雄市左營區博愛三路88號2樓,左營區,07-3432188,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
勻禾妍美學健康診所,3507301405,高雄市左營區文學路25號1、2、3樓,左營區,07-3431666,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
高雄法喬醫美診所,3507301414,高雄市左營區博愛三路8-1號4樓,左營區,07-3105796,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
淨妍醫美診所,3507301423,高雄市左營區裕誠路468號1-2樓,左營區,07-9721511,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
嬌妮美診所,3507301432,高雄市左營區博愛二路366號23樓之5,左營區,07-5580509,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
達文西健康管理診所,3507301441,高雄市左營區富民路291號5樓,左營區,07-5562928,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
立馨診所,3507301450,高雄市左營區立大路78號1樓,左營區,07-3590639,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
蕙林診所,3507301469,高雄市左營區立大路90號1樓,左營區,3450777,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
洛桑診所,3507301478,高雄市左營區修明街69號5樓之1,左營區,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
賀凱診所,3507301487,高雄市左營區明誠二路497號1~3樓,左營區,5566018,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
博愛萊佳形象美學診所,3507301496,高雄市左營區博愛三路35號1、2樓,左營區,07-3456355,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
柏安內科診所,3507300015,高雄市左營區大順一路552號1樓,左營區,5592120,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
德能診所,3507300088,高雄市左營區左營大路692號1、2、3樓,左營區,07-5857673,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
彌馨診所,3507300097,高雄市左營區至聖路288號1-2樓,左營區,07-8629880,無,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
吳虹婦產科診所,3507300113,高雄市左營區新庄仔路273號1F,左營區,07-3507101,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
欣聖診所,3507300140,高雄市左營區自由二路143號1F,左營區,07-5560525,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
巨蛋時尚假期整形醫美診所,3507300159,"高雄市左營區博愛二路420號1,2F",左營區,07-5588555,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
群英整形外科診所,3507300168,高雄市左營區自由二路108號2F,左營區,07-5579880,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
賴孟德診所,3507300186,高雄市左營區孟子路1樓608號,左營區,07-3439801,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
心樂診所,3507300211,高雄市左營區榮佑路9號1樓、夾層,左營區,3421968,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
許筌淵診所,3507300266,高雄市左營區富民路301號2樓,左營區,07-5570568,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
林俊谷診所,3507300275,高雄市左營區福山里民族一路1028-19號1樓,左營區,929124688.3,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
鍾愛一身診所,3507300364,高雄市左營區民族一路1080之2號1-2樓,左營區,073426156/3426171,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
自由維格診所,3507300382,高雄市左營區自由二路98號1-5樓,左營區,07-5509237,無,無,無,有,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
唐子俊診所,3507300435,高雄市左營區大順一路268號1樓,左營區,07-5564028,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
九大自由診所,3507300453,高雄市左營區自由三路410號1樓,左營區,07-3591963,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
蘇?民耳鼻喉科診所,3507300499,高雄市左營區文自路842號1樓,左營區,07-3507990,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
養全診所,3507300533,高雄市左營區文康路109號1樓,左營區,73451258,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
詠康診所,3507300604,高雄市左營區明華一路265號1、2樓,左營區,07-5580265,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
家陽診所,3507300659,高雄市左營區華夏路1573號1樓,左營區,07-3100985,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
揚士診所,3507300668,高雄市左營區高鐵路388號1-3樓,左營區,07-3591880,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
信望愛復健科診所,3507300686,高雄市左營區孟子路678號1、2樓，680號1樓,左營區,07-3500775,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
中山診所,3507300695,高雄市左營區博愛二路362號1樓,左營區,07-5509000,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無
